SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1,bedrooms,accommodates,E27
"480170060701","11","9","9","10","7","22","66","110","25","59","187"
"480170060702","8","5","8","6","4","56","128","208","13","36","248"
"480170060703","6","5","5","6","5","60","12","78","11","25","84"
"480170060704","3","1","3","3","1","18","69","93","4","10","93"
"480170060705","8","6","7","7","3","0","0","0","10","25","0"
"480170060706","11","9","11","11","5","253","209","462","15","44","495"
"480170060707","11","8","11","10","8","55","154","231","16","47","330"
"480170060709","10","9","9","10","7","20","70","140","13","36","120"
"480170060710","8","5","8","4","1","528","728","1352","8","22","1400"
"480170060711","20","18","20","11","13","40","40","140","27","76","780"
"480170060712","1","1","1","1","0","3","4","8","0","2","8"
"480170060713","12","9","11","10","8","48","36","108","15","44","108"
"480170060714","3","2","2","2","2","24","24","48","5","9","48"
"480170060715","13","12","10","8","9","65","546","689","16","47","728"
"480170060717","6","3","6","4","3","138","498","684","5","16","534"
"480170060718","3","3","2","3","2","9","0","9","5","16","93"
"480170060719","2","1","2","2","0","108","390","522","2","4","472"
"480170060720","6","3","6","4","2","6","0","6","8","18","6"
"480170060721","9","8","9","9","6","0","0","0","14","35","0"
"480170060722","1","0","1","1","0","15","37","59","1","4","83"
"480170060724","6","5","6","6","4","0","0","0","14","24","0"
"480170060725","5","4","5","5","2","0","20","25","8","24","30"
"480170060726","1","0","1","1","0","16","50","72","2","4","73"
"480170060727","1","1","1","0","0","18","7","26","1","2","43"
"480170060728","1","0","1","1","0","0","0","0","0","2","0"
"480170060730","9","6","8","7","6","36","216","315","11","30","351"
"480170060731","12","10","12","7","8","492","1212","1860","19","45","1896"
"480170060732","4","3","4","2","1","68","244","340","5","13","316"
"480170060733","1","1","1","0","0","0","2","2","1","2","2"
"480170060734","28","25","26","21","17","812","728","1820","43","113","3304"
"480170060735","12","10","11","9","8","144","168","396","15","43","708"
"480170060738","5","3","5","4","3","5","5","10","7","19","50"
"480170060740","9","5","9","9","3","423","117","576","19","40","585"
"480170060741","9","6","9","8","4","18","207","243","12","27","306"
"480170060743","8","5","7","7","4","48","40","112","13","32","176"
"480170060746","15","11","14","15","7","240","240","495","22","57","705"
"480170060747","22","11","21","19","9","550","1012","1694","37","95","2024"
"480170060748","8","7","7","8","4","152","80","256","18","40","312"
"480170060750","9","6","9","7","5","36","90","153","15","35","261"
"480170060751","2","2","2","2","2","0","0","0","4","8","0"
"480170060752","7","7","7","7","5","7","35","70","7","27","140"
"480170060753","11","9","11","11","7","33","66","132","14","40","143"
"480170060754","22","17","19","11","16","374","682","1298","30","82","1342"
"480170060755","16","14","13","15","10","208","880","1264","33","80","1280"
"480170060756","15","13","13","15","13","285","600","1170","21","60","1560"
"480170060757","10","6","10","9","5","50","150","250","16","44","270"
"480170060758","12","8","11","11","6","0","0","0","17","43","0"
"480170060759","2","2","2","0","1","36","2","40","2","4","36"
"480170060760","13","11","12","9","7","143","637","962","24","54","1378"
"480170060761","6","2","6","6","0","0","0","0","9","20","0"
"480170060762","2","1","2","2","1","8","30","40","2","7","66"
"480170060763","45","27","42","41","22","2925","6480","10215","61","171","10620"
"480170060764","3","1","3","3","1","39","75","135","3","14","183"
"480170060765","1","0","1","1","0","4","3","8","1","3","14"
"480170060766","2","1","2","2","1","64","200","284","2","12","282"
"480170060767","6","5","5","6","4","90","114","228","7","19","324"
"480170060768","8","5","8","1","5","712","4032","5176","12","19","5136"
"480170060771","11","3","11","9","1","143","297","473","15","36","462"
"480170060772","4","0","4","4","0","364","1312","1760","5","12","1776"
"480170060774","2","1","2","1","1","8","70","82","3","6","130"
"480170060775","2","1","2","1","1","16","26","42","2","7","46"
"480170060777","9","8","8","7","4","36","45","90","18","44","126"
"480170060779","7","3","6","4","3","133","679","896","8","23","1169"
"480170060781","19","12","18","14","8","1007","2014","3382","29","75","3249"
"480170060782","20","15","18","17","13","280","360","720","34","94","1000"
"480170060783","3","0","2","2","0","207","426","708","5","10","609"
"480170060784","1","0","1","0","0","12","121","144","1","2","145"
"480170060785","7","7","6","1","7","35","203","294","8","18","364"
"480170060787","15","6","15","12","3","525","690","1275","28","70","1605"
"480170060789","8","6","8","6","5","40","256","336","12","29","264"
"480170060790","4","3","2","3","3","0","4","4","9","18","28"
"480170060791","15","9","14","12","6","15","0","75","20","56","210"
"480170060793","4","3","4","4","2","0","0","0","8","18","4"
"480170060795","5","5","5","5","3","30","30","80","6","19","200"
"480170060796","7","5","7","7","2","77","77","168","14","38","287"
"480170060798","24","21","23","21","18","312","576","1128","38","105","1392"
"480170060799","17","13","17","13","10","255","187","476","25","60","816"
"480170060800","13","12","13","12","9","195","156","468","17","44","442"
"480170060801","1","0","1","1","0","32","127","180","2","4","166"
"480170060802","3","0","3","2","0","60","108","195","3","11","234"
"480170060803","8","7","8","7","5","136","224","376","23","45","512"
"480170060804","46","37","46","43","32","1564","2668","4876","63","164","7130"
"480170060807","1","0","1","1","0","11","42","62","0","1","81"
"480170060809","4","0","4","4","0","16","16","32","6","17","48"
"480170060810","12","11","11","6","10","156","264","540","12","36","612"
"480170060812","20","13","20","17","10","280","420","780","32","82","1000"
"480170060815","29","21","29","26","16","2320","1189","3799","46","118","3567"
"480170060816","2","2","2","1","1","4","4","8","4","6","28"
"480170060817","12","9","12","8","6","300","924","1356","15","35","1476"
"480170060818","79","56","73","65","45","4503","6557","13193","119","303","17222"
"480170060819","4","2","4","3","2","252","832","1164","7","15","1124"
"480170060820","1","1","1","0","1","9","83","98","1","2","97"
"480170060821","1","0","1","1","0","2","5","7","1","6","7"
"480170060822","12","12","12","11","10","48","24","120","17","56","156"
"480170060823","2","1","2","2","1","10","0","16","3","10","14"
"480170060824","2","1","2","2","1","8","0","10","3","8","50"
"480170060825","15","12","13","13","8","195","645","960","23","59","1560"
"480170060826","2","1","2","2","1","58","150","230","2","6","244"
"480170060827","1","1","1","1","1","0","0","0","1","2","0"
"480170060828","3","3","3","3","0","141","384","588","5","14","432"
"480170060829","11","7","10","10","6","44","0","55","25","62","88"
"480170060830","1","0","1","1","0","59","316","399","1","4","404"
"480170060831","1","0","1","0","0","11","39","55","1","2","82"
"480170060833","7","7","7","4","5","28","0","63","15","33","91"
"480170060835","6","2","6","4","1","120","720","906","10","25","930"
"480170060836","15","11","15","11","9","45","255","330","19","47","555"
"480170060837","2","2","2","2","1","10","6","20","5","13","30"
"480170060838","19","16","18","16","10","266","399","798","31","74","1330"
"480170060839","9","4","9","5","4","45","54","162","11","25","72"
"480170060840","4","4","3","4","1","24","28","52","6","17","56"
"480170060841","6","4","6","3","3","108","342","528","8","20","642"
"480170060842","33","28","32","29","18","990","1386","2673","59","144","3465"
"480170060843","6","5","6","1","5","108","636","780","6","20","876"
"480170060844","15","12","15","13","11","75","120","285","14","46","450"
"480170060845","1","1","1","1","1","10","45","65","1","4","70"
"480170060846","19","16","16","15","8","76","703","836","25","70","1140"
"480170060847","32","27","31","26","20","1376","5952","8288","42","111","8544"
"480170060848","1","1","1","1","1","1","1","5","1","4","5"
"480170060850","2","2","2","0","2","30","118","166","2","4","154"
"480170060851","7","6","7","6","4","105","259","399","9","27","441"
"480170060852","1","1","1","1","1","1","22","26","1","4","31"
"480170060855","9","7","8","8","5","72","216","333","10","27","414"
"480170060858","1","1","1","1","1","0","0","0","2","6","0"
"480170060859","1","0","1","1","0","38","100","151","2","5","203"
"480170060861","16","9","12","14","6","480","1104","1808","23","64","1808"
"480170060862","1","1","1","1","1","13","19","35","1","3","32"
"480170060863","1","1","1","1","1","1","31","37","1","2","49"
"480170060864","9","4","9","8","3","270","1035","1440","11","26","1485"
"480170060865","22","14","22","16","9","2662","4554","7920","33","77","8844"
"480170060866","10","8","10","6","5","420","790","1310","14","35","1280"
"480170060867","18","14","16","15","12","396","648","1080","29","77","936"
"480170060870","3","0","3","3","0","42","114","180","4","11","324"
"480170060873","4","0","4","2","0","136","608","800","7","16","844"
"480170060874","25","13","22","22","8","1275","3950","5875","33","89","5800"
"480170060877","6","6","6","5","6","18","42","66","12","32","138"
"480170060878","1","0","1","1","0","15","80","101","2","4","14"
"480170060879","11","10","9","9","9","22","154","176","28","72","319"
"480170060881","5","4","4","3","4","10","0","30","10","25","25"
"480170060883","11","10","10","9","8","110","132","330","21","51","572"
"480170060884","5","4","4","3","1","0","25","30","5","14","50"
"480170060886","15","12","14","10","6","75","45","720","22","65","1020"
"480170060887","5","5","5","3","5","50","80","140","7","21","195"
"480170060888","18","11","18","14","7","198","1080","1638","32","82","1944"
"480170060890","1","0","1","1","0","12","23","43","2","6","14"
"480170060891","1","0","1","0","0","21","120","152","1","2","154"
"480170060892","1","1","1","0","0","0","6","6","1","1","7"
"480170060895","22","20","20","20","14","132","154","462","36","94","0"
"480170060896","2","1","2","2","0","24","50","84","2","9","82"
"480170060897","32","21","31","30","18","1312","4128","5856","51","149","6848"
"480170060899","1","0","1","1","0","6","95","110","2","6","107"
"480170060902","12","7","12","7","2","108","288","600","12","32","660"
"480170060906","4","2","4","3","2","8","12","28","6","17","96"
"480170060907","5","2","5","3","1","210","1065","1385","5","16","2275"
"480170060908","3","1","3","2","1","99","255","369","4","13","324"
"480170060910","4","2","4","1","2","48","144","268","4","12","364"
"480170060911","3","3","3","3","3","0","81","90","3","9","90"
"480170060912","1","0","1","0","0","0","0","1","1","2","3"
"480170060915","2","0","2","1","0","78","158","258","3","6","256"
"480170060916","76","57","74","58","40","5776","7296","15352","100","286","15428"
"480170060917","5","4","4","5","4","0","0","0","10","29","0"
"480170060918","25","23","22","24","16","250","500","850","35","98","1025"
"480170060919","37","25","34","35","13","1443","2146","3959","57","144","3885"
"480170060920","2","1","2","1","1","8","86","106","3","8","112"
"480170060921","2","0","2","1","0","28","40","70","4","9","70"
"480170060922","1","1","1","1","0","9","7","17","2","4","13"
"480170060924","12","6","12","9","6","468","780","1380","16","44","2616"
"480170060927","1","0","1","1","0","11","14","28","2","3","36"
"480170060928","5","1","5","5","1","305","425","775","7","20","725"
"480170060930","20","17","18","18","14","460","920","1520","24","72","1860"
"480170060931","7","4","6","5","3","406","714","1190","8","19","1113"
"480170060932","2","1","2","1","0","36","128","188","2","3","222"
"480170060933","2","2","2","2","1","10","26","48","3","7","56"
"480170060934","48","37","44","44","31","1584","864","2832","51","158","5328"
"480170060935","6","3","6","5","2","402","534","996","7","17","984"
"480170060936","7","7","7","7","7","49","21","84","8","22","133"
"480170060937","13","8","12","12","5","104","936","1157","13","44","1313"
"480170060938","2","2","2","2","1","18","32","78","2","6","98"
"480170060940","1","0","1","1","0","18","70","97","1","4","81"
"480170060943","24","20","24","9","18","384","432","984","32","87","1008"
"480170060944","2","0","2","1","0","12","46","68","2","7","76"
"480170060945","9","7","9","6","5","18","153","252","12","30","405"
"480170060947","36","25","35","27","22","1008","4932","6732","48","133","8784"
"480170060948","12","11","9","11","11","96","168","348","22","58","528"
"480170060949","8","2","8","5","1","40","176","336","10","26","368"
"480170060950","4","2","3","1","1","4","0","4","4","7","8"
"480170060952","3","1","3","3","0","84","90","219","4","14","213"
"480170060953","3","2","3","3","0","57","42","102","4","9","93"
"480170060954","1","0","1","1","0","4","25","32","3","7","35"
"480170060955","2","1","2","1","1","6","24","44","2","6","40"
"480170060957","8","4","8","4","2","112","256","432","8","29","488"
"480170060958","3","1","3","1","1","72","495","615","5","8","609"
"480170060960","3","2","3","3","1","9","36","57","7","17","66"
"480170060961","29","26","23","27","20","1247","2117","3857","34","102","4930"
"480170060963","2","1","2","1","1","48","202","268","2","6","296"
"480170060964","3","3","3","3","1","30","69","117","3","10","96"
"480170060966","30","18","28","27","14","510","1560","2550","42","114","2850"
"480170060967","5","3","5","4","2","65","660","805","8","15","850"
"480170060969","36","30","34","25","25","648","1044","1908","49","131","2592"
"480170060971","8","5","7","4","4","248","1192","1584","9","17","1592"
"480170060973","11","8","11","11","4","352","1177","1804","22","51","2068"
"480170060974","3","1","2","2","1","129","276","447","4","10","495"
"480170060975","1","0","1","0","0","2","17","20","1","2","22"
"480170060976","1","1","1","1","1","0","0","0","0","3","0"
"480170060977","1","0","1","1","0","5","58","67","3","5","68"
"480170060979","2","0","2","0","0","44","306","372","2","4","370"
"480170060983","2","2","2","2","0","44","314","398","3","10","316"
"480170060984","39","28","38","23","19","312","507","1053","52","126","1326"
"480170060985","3","3","3","3","1","48","135","213","4","9","237"
"480170060986","8","4","8","5","1","24","56","112","11","29","104"
"480170060988","4","2","4","4","2","92","404","568","6","15","548"
"480170060990","1","0","1","1","0","19","98","127","1","2","132"
"480170060991","1","1","1","1","0","5","40","50","1","4","51"
"480170060992","23","17","22","16","8","391","690","1311","36","76","1564"
"480170060994","2","1","2","1","1","376","178","590","3","6","602"
"480170060995","90","74","85","74","55","2700","2880","7470","165","359","12600"
"480170060996","3","1","3","3","1","24","108","168","7","19","210"
"480170060998","1","0","1","0","0","3","19","25","1","4","4"
"480170060999","4","1","4","3","1","96","248","376","5","14","168"
"480170061000","1","1","1","0","1","30","96","142","1","2","150"
"480170061001","5","1","4","3","1","190","630","880","6","15","945"
"480170061002","34","22","29","33","12","850","3332","4896","47","114","6018"
"480170061003","2","2","2","1","2","16","82","114","3","9","126"
"480170061004","20","14","15","17","11","180","720","1020","34","93","1760"
"480170061005","5","4","4","3","3","30","295","415","5","13","485"
"480170061006","1","1","1","0","1","18","112","139","1","2","132"
"480170061007","1","0","1","1","0","2","13","19","2","6","20"
"480170061009","2","0","2","1","0","4","52","66","2","6","80"
"480170061010","23","8","23","8","7","276","2208","2944","31","76","3128"
"480170061011","100","85","95","79","71","5000","8600","15300","140","380","15300"
"480170061013","1","0","1","1","0","5","57","70","1","3","69"
"480170061014","4","4","4","4","1","84","316","456","5","15","532"
"480170061017","42","33","40","31","31","2352","3402","5922","59","168","6258"
"480170061018","2","1","2","0","0","12","146","176","2","6","176"
"480170061019","1","0","1","1","0","37","192","264","1","4","255"
"480170061021","1","1","1","0","1","19","63","85","1","2","84"
"480170061023","5","2","5","4","2","40","185","235","5","14","295"
"480170061025","40","34","39","26","25","720","1160","2240","53","133","2560"
"480170061026","1","1","1","1","1","12","57","74","3","6","107"
"480170061035","4","3","4","1","3","156","416","644","3","8","660"
"480170061036","1","1","1","1","0","8","48","61","1","2","67"
"480170061037","2","1","2","1","1","60","470","568","2","6","570"
"480170061039","1","0","1","0","0","25","170","205","1","2","224"
"480170061040","1","1","1","1","0","11","113","136","1","2","136"
"480170061043","3","0","2","2","0","48","174","261","5","10","285"
"480170061044","19","11","18","14","6","437","741","1311","26","65","1235"
"480170061045","83","63","78","73","44","4565","7138","16683","115","326","21580"
"480170061049","2","1","2","2","0","4","86","120","5","12","166"
"480170061050","26","18","25","17","14","442","650","1300","30","85","1690"
"480170061051","2","0","2","1","0","54","218","288","2","6","284"
"480170061053","8","4","8","3","4","96","352","576","19","31","648"
"480170061055","12","7","12","11","4","132","396","588","15","42","792"
"480170061057","1","1","1","1","0","21","72","108","2","4","117"
"480170061058","20","14","19","14","12","240","220","700","28","73","1440"
"480170061061","1","0","1","1","0","2","11","15","1","5","19"
"480170061064","27","24","23","23","21","432","1161","1755","40","101","1782"
"480170061065","1","1","1","0","0","36","98","159","1","2","187"
"480170061066","28","24","27","23","18","532","1176","2072","44","101","2212"
"480170061068","4","3","4","3","1","168","568","808","4","14","824"
"480170061069","29","24","28","24","15","1247","1914","3799","46","125","3190"
"480170061070","6","2","6","3","2","84","366","474","9","22","684"
"480170061071","59","43","54","47","39","1652","2242","4602","86","224","9735"
"480170061072","1","0","1","0","0","22","141","178","1","2","198"
"480170061073","63","50","57","47","33","1512","3150","5103","98","253","4473"
"480170061075","1","1","1","1","0","17","149","190","2","6","189"
"480170061076","10","5","9","8","4","220","620","930","21","48","1540"
"480170061077","1","0","1","1","0","0","0","0","2","4","0"
"480170061078","2","0","2","2","0","44","144","212","4","10","228"
"480170061079","8","8","3","8","7","32","48","104","12","34","176"
"480170061081","1","1","1","0","1","5","11","18","1","2","22"
"480170061082","2","2","2","1","0","4","78","92","2","4","118"
"480170061086","2","0","2","2","0","0","0","0","5","12","0"
"480170061087","1","0","1","1","0","40","85","129","1","4","121"
"480170061089","1","0","1","1","0","1","35","52","1","2","55"
"480170061090","17","12","16","11","11","51","68","153","25","64","221"
"480170061091","10","4","10","6","4","130","620","870","15","34","1270"
"480170061092","31","25","30","20","17","0","0","0","50","116","0"
"480170061094","55","36","52","40","29","2255","3740","6765","89","210","6215"
"480170061095","1","1","1","0","0","28","124","164","1","3","183"
"480170061099","1","0","1","1","0","0","8","12","1","2","12"
"480170061100","4","2","4","2","2","128","752","948","4","17","984"
"480170061104","3","2","2","2","2","69","159","240","3","10","273"
"480170061106","1","1","1","0","0","58","66","128","1","1","138"
"480170061109","1","0","1","0","0","2","31","35","1","1","42"
"480170061110","14","8","13","10","7","294","1372","1806","22","51","1652"
"480170061111","1","1","1","1","0","223","50","281","2","5","279"
"480170061112","28","18","28","22","13","1176","1540","3052","42","104","2912"
"480170061114","2","1","2","1","0","104","158","292","3","6","418"
"480170061115","27","20","25","22","17","621","675","1539","42","105","2538"
"480170061118","1","0","1","0","0","0","0","0","1","2","10"
"480170061119","2","0","2","1","0","146","140","296","3","7","294"
"480170061120","2","0","2","1","0","8","66","76","2","5","70"
"480170061121","18","12","18","12","10","162","630","810","22","57","2286"
"480170061123","3","0","3","3","0","3","132","144","5","10","159"
"480170061124","1","0","1","0","0","31","141","183","1","2","176"
"480170061125","2","2","2","1","1","16","42","78","3","5","98"
"480170061127","3","1","3","1","1","78","279","372","3","6","486"
"480170061132","25","20","24","18","15","350","700","1250","33","100","2600"
"480170061133","2","1","1","2","0","8","174","218","4","9","272"
"480170061134","1","0","1","0","0","32","133","185","1","2","178"
"480170061135","21","17","21","19","12","231","588","987","28","84","1050"
"480170061137","4","3","3","2","3","172","512","744","2","10","740"
"480170061141","21","10","21","20","7","189","273","609","37","81","798"
"480170061145","2","2","2","1","1","34","204","274","4","8","282"
"480170061149","44","24","43","38","16","1848","7348","10296","56","152","11264"
"480170061150","1","0","1","0","0","22","139","174","1","2","176"
"480170061153","7","6","6","5","4","154","483","826","12","29","1260"
"480170061157","18","16","17","15","15","738","990","2070","26","79","1890"
"480170061160","24","20","20","19","14","552","528","1368","32","93","1872"
"480170061161","1","0","1","1","0","23","122","165","1","3","179"
"480170061165","14","9","13","6","6","546","350","1050","17","35","1330"
"480170061169","1","0","1","1","0","18","96","128","0","3","124"
"480170061170","18","14","17","15","11","306","774","1188","28","81","1782"
"480170061173","1","0","1","1","0","4","58","72","1","4","75"
"480170061174","2","0","2","2","0","102","430","550","5","10","554"
"480170061176","3","3","2","3","3","24","135","174","6","13","192"
"480170061177","53","43","49","30","24","2650","3975","7155","64","196","17649"
"480170061179","4","0","4","0","0","36","428","556","4","14","616"
"480170061180","3","3","3","3","2","36","285","375","5","13","429"
"480170061183","1","0","1","0","0","35","26","63","1","3","68"
"480170061186","22","18","20","20","16","374","528","1100","36","91","2222"
"480170061191","1","0","1","1","0","2","10","14","2","4","15"
"480170061194","40","26","38","20","22","1400","320","1960","54","141","2200"
"480170061196","1","0","1","1","0","1","5","8","4","8","10"
"480170061201","16","13","16","14","8","272","640","992","24","61","1264"
"480170061203","1","0","0","1","0","6","44","53","4","8","51"
"480170061206","3","2","3","3","1","51","198","267","6","10","291"
"480170061208","5","1","5","5","1","175","775","1050","6","16","1145"
"480170061210","1","1","1","1","0","289","125","429","3","6","417"
"480170061213","2","2","2","2","2","8","72","92","2","6","122"
"480170061214","6","6","5","6","6","0","0","6","8","22","36"
"480170061217","4","1","4","1","1","72","412","572","5","17","624"
"480170061221","42","30","41","32","26","1680","4788","7224","71","177","6174"
"480170061222","10","8","9","6","7","200","230","450","15","30","630"
"480170061223","3","2","3","3","2","72","162","240","7","16","279"
"480170061224","2","1","1","2","0","34","114","164","3","7","150"
"480170061226","83","62","76","51","48","5063","6225","13612","106","291","25813"
"480170061232","21","18","19","9","13","231","567","882","24","63","1701"
"480170061235","7","6","6","5","3","0","0","14","9","25","21"
"480170061237","1","1","1","0","0","24","57","84","1","2","86"
"480170061238","2","1","2","2","1","42","202","290","3","6","310"
"480170061239","1","1","1","1","0","280","117","406","2","3","425"
"480170061243","1","0","1","1","0","15","130","158","1","5","170"
"480170061244","23","10","19","21","7","828","1978","3036","45","113","2760"
"480170061245","2","0","2","1","0","78","196","310","3","8","304"
"480170061247","6","2","6","6","1","30","96","168","13","32","282"
"480170061249","3","2","3","3","1","6","15","21","5","11","21"
"480170061251","3","3","3","1","0","39","468","564","3","8","528"
"480170061252","13","12","11","13","9","572","611","1274","25","63","1976"
"480170061257","16","10","15","9","10","48","0","48","25","69","80"
"480170061258","1","1","1","1","1","158","152","317","1","3","315"
"480170061259","16","16","16","16","16","0","304","352","19","55","432"
"480170061261","16","13","12","12","10","16","0","48","28","69","112"
"480170061262","4","3","4","1","2","176","252","460","4","8","472"
"480170061263","27","21","26","16","18","891","2106","3375","30","79","3699"
"480170061266","1","1","1","1","0","59","259","345","1","4","352"
"480170061268","12","10","11","9","7","72","156","276","17","41","0"
"480170061270","1","1","1","1","0","2","10","13","1","3","25"
"480170061271","7","3","7","6","3","14","21","63","9","21","63"
"480170061273","2","0","2","2","0","28","214","268","2","7","276"
"480170061275","2","2","2","1","1","0","0","0","4","10","0"
"480170061276","30","19","28","22","15","1620","1770","3720","46","120","5130"
"480170061277","1","0","1","0","0","3","66","73","1","2","62"
"480170061278","1","1","1","1","1","5","40","49","1","4","55"
"480170061279","7","5","7","7","5","14","42","56","14","31","210"
"480170061280","13","13","12","4","9","208","195","403","14","37","442"
"480170061283","7","6","7","4","1","35","133","196","11","29","441"
"480170061285","4","3","4","2","2","4","0","12","7","17","12"
"480170061286","23","18","21","19","12","552","1449","2438","38","91","3703"
"480170061288","22","17","22","19","13","242","968","1276","33","92","2530"
"480170061290","2","1","2","2","0","82","982","1154","4","7","1104"
"480170061292","1","0","1","1","0","6","74","82","1","2","83"
"480170061294","2","2","2","2","2","8","2","10","5","12","8"
"480170061295","1","0","1","1","0","13","149","173","1","2","182"
"480170061296","9","6","9","7","5","63","189","279","14","38","477"
"480170061297","2","0","2","1","0","20","424","480","4","8","528"
"480170061299","6","4","6","4","1","12","72","96","9","27","162"
"480170061300","3","3","3","1","3","36","279","345","5","14","330"
"480170061301","42","36","38","20","29","1050","4494","6174","54","130","6888"
"480170061303","8","7","8","8","6","136","192","360","11","29","480"
"480170061305","3","2","3","3","2","72","99","216","5","15","309"
"480170061309","3","2","3","3","2","24","24","66","8","21","123"
"480170061312","1","0","1","1","0","52","205","272","2","5","264"
"480170061314","1","1","1","1","1","9","35","50","3","7","49"
"480170061315","21","16","18","18","9","714","2016","2856","27","76","3318"
"480170061317","31","17","30","26","9","1240","4185","7688","48","125","8308"
"480170061318","4","3","4","3","3","72","232","392","7","20","456"
"480170061321","17","14","17","13","8","374","1241","1955","25","65","1921"
"480170061325","13","10","12","10","5","65","169","286","23","49","546"
"480170061326","28","21","28","15","19","532","1456","2324","47","112","3388"
"480170061328","3","2","3","2","1","3","69","120","4","12","150"
"480170061329","1","0","1","1","0","2","2","4","2","4","6"
"480170061331","1","1","1","1","0","18","158","208","1","2","243"
"480170061333","8","7","8","6","1","296","1800","2232","10","25","2384"
"480170061335","8","8","8","3","7","144","416","640","10","22","560"
"480170061336","16","11","16","14","5","1376","2672","4320","23","55","5168"
"480170061338","17","15","17","8","8","204","459","714","22","59","1071"
"480170061339","3","3","3","0","3","6","126","135","3","6","180"
"480170061340","4","2","4","3","1","184","956","1272","4","12","1260"
"480170061341","11","7","11","10","4","11","286","330","16","44","726"
"480170061343","8","8","7","8","6","184","592","856","14","41","968"
"480170061344","1","1","1","0","1","0","2","3","1","2","6"
"480170061345","9","8","8","8","5","189","585","882","13","32","1377"
"480170061346","2","2","2","2","2","6","52","66","3","8","108"
"480170061347","6","4","4","6","2","108","324","462","7","26","486"
"480170061348","10","5","9","5","5","210","620","880","15","38","1010"
"480170061349","11","8","10","9","5","341","594","1045","16","44","979"
"480170061350","12","6","12","9","6","384","1788","2412","15","31","2436"
"480170061352","5","1","5","3","0","45","230","285","7","14","305"
"480170061353","5","5","4","2","4","60","250","340","8","17","325"
"480170061354","1","0","1","0","0","90","273","386","1","2","391"
"480170061355","1","0","1","1","0","0","0","0","1","4","0"
"480170061358","4","3","4","4","2","88","148","264","7","20","552"
"480170061359","4","1","4","4","0","24","132","184","8","19","168"
"480170061360","1","0","1","1","0","9","127","142","2","6","131"
"480170061361","6","4","6","4","1","6","0","6","6","15","12"
"480170061362","1","1","1","0","1","5","22","35","1","1","28"
"480170061363","1","1","1","1","1","0","17","20","1","2","22"
"480170061365","5","3","4","2","1","0","0","0","6","13","320"
"480170061366","19","16","14","13","14","209","817","1121","22","62","1501"
"480170061368","1","1","1","1","0","20","53","80","1","4","71"
"480170061369","5","4","4","3","4","35","135","190","6","17","280"
"480170061370","10","6","10","6","6","310","1280","1720","17","42","1530"
"480170061371","1","1","1","0","1","16","27","60","1","2","66"
"480170061375","2","1","2","1","0","22","152","190","4","10","148"
"480170061377","46","33","43","33","22","1242","3864","5474","74","182","7636"
"480170061378","3","1","3","2","1","66","261","375","4","10","375"
"480170061379","6","5","6","1","4","78","246","372","6","14","330"
"480170061380","6","5","6","3","4","72","126","210","8","18","198"
"480170061381","1","0","1","1","0","8","84","96","3","10","88"
"480170061383","3","2","3","3","2","225","660","996","5","11","978"
"480170061384","4","2","4","2","0","140","476","688","3","8","832"
"480170061386","1","1","1","0","1","12","45","60","1","2","70"
"480170061388","5","4","5","4","3","0","70","85","6","18","125"
"480170061390","14","13","13","11","7","154","854","1204","18","53","1680"
"480170061391","1","1","1","1","1","3","19","30","0","2","29"
"480170061393","11","8","11","9","5","176","253","473","21","52","627"
"480170061394","1","1","1","0","0","5","39","47","1","1","61"
"480170061395","14","11","14","8","7","0","0","0","20","47","0"
"480170061396","4","2","4","3","1","8","0","8","5","11","4"
"480170061397","2","2","2","1","1","0","0","0","3","5","0"
