census_tract_id,bedrooms_on_airbnb
480170060001,12.0
480170060004,4.0
480170060005,2.0
480170060011,9.0
480170060014,1.0
480170060031,2.0
480170060033,2.0
480170060037,1.0
480170060039,2.0
480170060044,2.0
480170060049,2.0
480170060053,2.0
480170060058,6.0
480170060059,18.0
480170060061,7.0
480170060062,3.0
480170060068,5.0
480170060070,10.0
480170060071,10.0
480170060073,4.0
480170060074,0.0
480170060079,5.0
480170060082,6.0
480170060084,1.0
480170060085,5.0
480170060086,6.0
480170060087,2.0
480170060093,2.0
480170060094,9.0
480170060095,4.0
480170060096,6.0
480170060098,24.0
480170060099,9.0
480170060100,6.0
480170060102,3.0
480170060106,9.0
480170060110,3.0
480170060115,11.0
480170060118,3.0
480170060122,1.0
480170060123,11.0
480170060124,5.0
480170060126,2.0
480170060127,4.0
480170060128,2.0
480170060132,7.0
480170060133,1.0
480170060134,2.0
480170060137,1.0
480170060139,1.0
480170060140,13.0
480170060142,13.0
480170060144,1.0
480170060150,3.0
480170060151,1.0
480170060152,36.0
480170060153,5.0
480170060154,5.0
480170060156,1.0
480170060157,3.0
480170060161,5.0
480170060162,26.0
480170060163,8.0
480170060164,1.0
480170060165,11.0
480170060166,2.0
480170060168,5.0
480170060169,1.0
480170060171,14.0
480170060172,1.0
480170060175,6.0
480170060176,4.0
480170060177,1.0
480170060178,3.0
480170060179,1.0
480170060182,16.0
480170060183,1.0
480170060184,10.0
480170060187,3.0
480170060189,6.0
480170060193,4.0
480170060194,2.0
480170060198,4.0
480170060199,11.0
480170060200,1.0
480170060202,1.0
480170060204,30.0
480170060206,1.0
480170060208,8.0
480170060210,6.0
480170060212,1.0
480170060214,10.0
480170060216,2.0
480170060217,2.0
480170060218,20.0
480170060219,1.0
480170060221,5.0
480170060222,1.0
480170060225,5.0
480170060227,2.0
480170060228,1.0
480170060229,1.0
480170060230,3.0
480170060233,3.0
480170060234,9.0
480170060236,3.0
480170060237,15.0
480170060238,1.0
480170060239,8.0
480170060241,22.0
480170060243,2.0
480170060244,2.0
480170060247,3.0
480170060248,4.0
480170060251,6.0
480170060252,1.0
480170060257,2.0
480170060258,1.0
480170060259,10.0
480170060262,5.0
480170060263,10.0
480170060268,15.0
480170060269,7.0
480170060270,3.0
480170060271,6.0
480170060272,2.0
480170060273,7.0
480170060274,3.0
480170060277,3.0
480170060278,1.0
480170060279,10.0
480170060280,2.0
480170060281,1.0
480170060282,15.0
480170060283,1.0
480170060284,8.0
480170060286,2.0
480170060287,63.0
480170060289,36.0
480170060290,2.0
480170060291,32.0
480170060292,41.0
480170060293,104.0
480170060294,11.0
480170060296,9.0
480170060299,3.0
480170060300,2.0
480170060301,13.0
480170060302,2.0
480170060306,1.0
480170060307,4.0
480170060308,22.0
480170060309,9.0
480170060310,10.0
480170060313,7.0
480170060314,3.0
480170060315,2.0
480170060316,0.0
480170060317,12.0
480170060318,1.0
480170060320,2.0
480170060323,9.0
480170060324,14.0
480170060328,2.0
480170060329,3.0
480170060332,2.0
480170060333,1.0
480170060335,2.0
480170060336,3.0
480170060337,12.0
480170060339,16.0
480170060340,8.0
480170060341,7.0
480170060342,3.0
480170060343,10.0
480170060348,1.0
480170060349,2.0
480170060350,1.0
480170060353,5.0
480170060357,9.0
480170060358,3.0
480170060360,17.0
480170060361,29.0
480170060362,49.0
480170060364,2.0
480170060366,11.0
480170060367,18.0
480170060368,12.0
480170060369,18.0
480170060370,3.0
480170060371,18.0
480170060372,3.0
480170060374,19.0
480170060376,2.0
480170060379,2.0
480170060381,71.0
480170060382,17.0
480170060383,14.0
480170060384,35.0
480170060385,1.0
480170060388,0.0
480170060389,2.0
480170060390,5.0
480170060391,2.0
480170060392,2.0
480170060393,35.0
480170060394,9.0
480170060395,1.0
480170060397,2.0
480170060402,12.0
480170060403,56.0
480170060406,5.0
480170060407,6.0
480170060408,20.0
480170060409,63.0
480170060410,12.0
480170060412,29.0
480170060415,2.0
480170060416,12.0
480170060418,8.0
480170060419,11.0
480170060420,3.0
480170060421,33.0
480170060422,4.0
480170060425,42.0
480170060428,14.0
480170060430,3.0
480170060431,23.0
480170060432,11.0
480170060433,45.0
480170060434,42.0
480170060435,40.0
480170060436,335.0
480170060437,15.0
480170060440,5.0
480170060443,3.0
480170060444,32.0
480170060446,5.0
480170060448,46.0
480170060449,6.0
480170060450,22.0
480170060452,7.0
480170060453,1.0
480170060455,10.0
480170060456,31.0
480170060458,1.0
480170060459,1.0
480170060460,88.0
480170060461,1.0
480170060464,1.0
480170060465,1.0
480170060466,14.0
480170060469,1.0
480170060470,3.0
480170060471,4.0
480170060472,16.0
480170060473,3.0
480170060474,14.0
480170060475,57.0
480170060476,2.0
480170060477,51.0
480170060478,3.0
480170060479,28.0
480170060480,26.0
480170060482,5.0
480170060485,5.0
480170060488,3.0
480170060489,10.0
480170060490,1.0
480170060491,18.0
480170060492,36.0
480170060493,23.0
480170060495,1.0
480170060497,2.0
480170060499,29.0
480170060501,7.0
480170060502,1.0
480170060504,0.0
480170060505,3.0
480170060506,12.0
480170060507,2.0
480170060509,40.0
480170060510,65.0
480170060512,4.0
480170060513,21.0
480170060514,2.0
480170060515,3.0
480170060516,4.0
480170060517,4.0
480170060518,2.0
480170060521,14.0
480170060522,41.0
480170060523,9.0
480170060524,20.0
480170060525,5.0
480170060526,83.0
480170060527,4.0
480170060528,2.0
480170060529,38.0
480170060530,13.0
480170060531,10.0
480170060533,42.0
480170060534,5.0
480170060535,11.0
480170060536,11.0
480170060538,13.0
480170060539,7.0
480170060540,0.0
480170060541,1.0
480170060542,34.0
480170060543,1.0
480170060544,8.0
480170060545,27.0
480170060546,1.0
480170060547,29.0
480170060548,4.0
480170060551,38.0
480170060554,16.0
480170060555,5.0
480170060557,27.0
480170060558,13.0
480170060559,111.0
480170060560,19.0
480170060561,9.0
480170060563,13.0
480170060564,2.0
480170060565,37.0
480170060566,29.0
480170060568,3.0
480170060570,24.0
480170060571,31.0
480170060573,18.0
480170060574,81.0
480170060576,12.0
480170060577,89.0
480170060578,3.0
480170060580,3.0
480170060581,48.0
480170060582,4.0
480170060583,18.0
480170060584,26.0
480170060585,6.0
480170060586,21.0
480170060588,27.0
480170060589,64.0
480170060590,15.0
480170060591,19.0
480170060592,11.0
480170060593,39.0
480170060594,5.0
480170060595,20.0
480170060597,32.0
480170060598,2.0
480170060599,37.0
480170060600,1.0
480170060601,8.0
480170060602,2.0
480170060603,30.0
480170060604,2.0
480170060605,31.0
480170060606,73.0
480170060607,12.0
480170060608,29.0
480170060609,23.0
480170060612,8.0
480170060613,6.0
480170060614,19.0
480170060615,4.0
480170060616,4.0
480170060617,24.0
480170060619,24.0
480170060620,5.0
480170060621,18.0
480170060622,37.0
480170060623,17.0
480170060624,2.0
480170060625,11.0
480170060626,42.0
480170060628,27.0
480170060629,24.0
480170060630,16.0
480170060631,12.0
480170060632,14.0
480170060633,2.0
480170060634,3.0
480170060635,5.0
480170060636,9.0
480170060639,5.0
480170060640,5.0
480170060641,23.0
480170060642,52.0
480170060643,27.0
480170060644,24.0
480170060645,6.0
480170060646,5.0
480170060647,6.0
480170060648,18.0
480170060649,6.0
480170060650,50.0
480170060652,29.0
480170060653,33.0
480170060654,24.0
480170060655,19.0
480170060656,2.0
480170060659,13.0
480170060660,23.0
480170060661,0.0
480170060662,18.0
480170060663,7.0
480170060664,8.0
480170060665,10.0
480170060666,9.0
480170060667,13.0
480170060668,16.0
480170060669,13.0
480170060671,40.0
480170060673,25.0
480170060674,21.0
480170060675,4.0
480170060676,6.0
480170060677,2.0
480170060678,2.0
480170060681,2.0
480170060682,38.0
480170060683,23.0
480170060684,4.0
480170060685,19.0
480170060686,5.0
480170060687,7.0
480170060689,7.0
480170060690,2.0
480170060691,4.0
480170060692,8.0
480170060693,28.0
480170060694,20.0
480170060695,2.0
480170060699,1.0
480170060700,32.0
480170060701,25.0
480170060702,13.0
480170060703,11.0
480170060704,4.0
480170060705,10.0
480170060706,15.0
480170060707,16.0
480170060709,13.0
480170060710,8.0
480170060711,27.0
480170060712,0.0
480170060713,15.0
480170060714,5.0
480170060715,16.0
480170060717,5.0
480170060718,5.0
480170060719,2.0
480170060720,8.0
480170060721,14.0
480170060722,1.0
480170060724,14.0
480170060725,8.0
480170060726,2.0
480170060727,1.0
480170060728,0.0
480170060730,11.0
480170060731,19.0
480170060732,5.0
480170060733,1.0
480170060734,43.0
480170060735,15.0
480170060738,7.0
480170060740,19.0
480170060741,12.0
480170060743,13.0
480170060746,22.0
480170060747,37.0
480170060748,18.0
480170060750,15.0
480170060751,4.0
480170060752,7.0
480170060753,14.0
480170060754,30.0
480170060755,33.0
480170060756,21.0
480170060757,16.0
480170060758,17.0
480170060759,2.0
480170060760,24.0
480170060761,9.0
480170060762,2.0
480170060763,61.0
480170060764,3.0
480170060765,1.0
480170060766,2.0
480170060767,7.0
480170060768,12.0
480170060771,15.0
480170060772,5.0
480170060774,3.0
480170060775,2.0
480170060777,18.0
480170060779,8.0
480170060781,29.0
480170060782,34.0
480170060783,5.0
480170060784,1.0
480170060785,8.0
480170060787,28.0
480170060789,12.0
480170060790,9.0
480170060791,20.0
480170060793,8.0
480170060795,6.0
480170060796,14.0
480170060798,38.0
480170060799,25.0
480170060800,17.0
480170060801,2.0
480170060802,3.0
480170060803,23.0
480170060804,63.0
480170060807,0.0
480170060809,6.0
480170060810,12.0
480170060812,32.0
480170060815,46.0
480170060816,4.0
480170060817,15.0
480170060818,119.0
480170060819,7.0
480170060820,1.0
480170060821,1.0
480170060822,17.0
480170060823,3.0
480170060824,3.0
480170060825,23.0
480170060826,2.0
480170060827,1.0
480170060828,5.0
480170060829,25.0
480170060830,1.0
480170060831,1.0
480170060833,15.0
480170060835,10.0
480170060836,19.0
480170060837,5.0
480170060838,31.0
480170060839,11.0
480170060840,6.0
480170060841,8.0
480170060842,59.0
480170060843,6.0
480170060844,14.0
480170060845,1.0
480170060846,25.0
480170060847,42.0
480170060848,1.0
480170060850,2.0
480170060851,9.0
480170060852,1.0
480170060855,10.0
480170060858,2.0
480170060859,2.0
480170060861,23.0
480170060862,1.0
480170060863,1.0
480170060864,11.0
480170060865,33.0
480170060866,14.0
480170060867,29.0
480170060870,4.0
480170060873,7.0
480170060874,33.0
480170060877,12.0
480170060878,2.0
480170060879,28.0
480170060881,10.0
480170060883,21.0
480170060884,5.0
480170060886,22.0
480170060887,7.0
480170060888,32.0
480170060890,2.0
480170060891,1.0
480170060892,1.0
480170060895,36.0
480170060896,2.0
480170060897,51.0
480170060899,2.0
480170060902,12.0
480170060906,6.0
480170060907,5.0
480170060908,4.0
480170060910,4.0
480170060911,3.0
480170060912,1.0
480170060915,3.0
480170060916,100.0
480170060917,10.0
480170060918,35.0
480170060919,57.0
480170060920,3.0
480170060921,4.0
480170060922,2.0
480170060924,16.0
480170060927,2.0
480170060928,7.0
480170060930,24.0
480170060931,8.0
480170060932,2.0
480170060933,3.0
480170060934,51.0
480170060935,7.0
480170060936,8.0
480170060937,13.0
480170060938,2.0
480170060940,1.0
480170060943,32.0
480170060944,2.0
480170060945,12.0
480170060947,48.0
480170060948,22.0
480170060949,10.0
480170060950,4.0
480170060952,4.0
480170060953,4.0
480170060954,3.0
480170060955,2.0
480170060957,8.0
480170060958,5.0
480170060960,7.0
480170060961,34.0
480170060963,2.0
480170060964,3.0
480170060966,42.0
480170060967,8.0
480170060969,49.0
480170060971,9.0
480170060973,22.0
480170060974,4.0
480170060975,1.0
480170060976,0.0
480170060977,3.0
480170060979,2.0
480170060983,3.0
480170060984,52.0
480170060985,4.0
480170060986,11.0
480170060988,6.0
480170060990,1.0
480170060991,1.0
480170060992,36.0
480170060994,3.0
480170060995,165.0
480170060996,7.0
480170060998,1.0
480170060999,5.0
480170061000,1.0
480170061001,6.0
480170061002,47.0
480170061003,3.0
480170061004,34.0
480170061005,5.0
480170061006,1.0
480170061007,2.0
480170061009,2.0
480170061010,31.0
480170061011,140.0
480170061013,1.0
480170061014,5.0
480170061017,59.0
480170061018,2.0
480170061019,1.0
480170061021,1.0
480170061023,5.0
480170061025,53.0
480170061026,3.0
480170061035,3.0
480170061036,1.0
480170061037,2.0
480170061039,1.0
480170061040,1.0
480170061043,5.0
480170061044,26.0
480170061045,115.0
480170061049,5.0
480170061050,30.0
480170061051,2.0
480170061053,19.0
480170061055,15.0
480170061057,2.0
480170061058,28.0
480170061061,1.0
480170061064,40.0
480170061065,1.0
480170061066,44.0
480170061068,4.0
480170061069,46.0
480170061070,9.0
480170061071,86.0
480170061072,1.0
480170061073,98.0
480170061075,2.0
480170061076,21.0
480170061077,2.0
480170061078,4.0
480170061079,12.0
480170061081,1.0
480170061082,2.0
480170061086,5.0
480170061087,1.0
480170061089,1.0
480170061090,25.0
480170061091,15.0
480170061092,50.0
480170061094,89.0
480170061095,1.0
480170061099,1.0
480170061100,4.0
480170061104,3.0
480170061106,1.0
480170061109,1.0
480170061110,22.0
480170061111,2.0
480170061112,42.0
480170061114,3.0
480170061115,42.0
480170061118,1.0
480170061119,3.0
480170061120,2.0
480170061121,22.0
480170061123,5.0
480170061124,1.0
480170061125,3.0
480170061127,3.0
480170061132,33.0
480170061133,4.0
480170061134,1.0
480170061135,28.0
480170061137,2.0
480170061141,37.0
480170061145,4.0
480170061149,56.0
480170061150,1.0
480170061153,12.0
480170061157,26.0
480170061160,32.0
480170061161,1.0
480170061165,17.0
480170061169,0.0
480170061170,28.0
480170061173,1.0
480170061174,5.0
480170061176,6.0
480170061177,64.0
480170061179,4.0
480170061180,5.0
480170061183,1.0
480170061186,36.0
480170061191,2.0
480170061194,54.0
480170061196,4.0
480170061201,24.0
480170061203,4.0
480170061206,6.0
480170061208,6.0
480170061210,3.0
480170061213,2.0
480170061214,8.0
480170061217,5.0
480170061221,71.0
480170061222,15.0
480170061223,7.0
480170061224,3.0
480170061226,106.0
480170061232,24.0
480170061235,9.0
480170061237,1.0
480170061238,3.0
480170061239,2.0
480170061243,1.0
480170061244,45.0
480170061245,3.0
480170061247,13.0
480170061249,5.0
480170061251,3.0
480170061252,25.0
480170061257,25.0
480170061258,1.0
480170061259,19.0
480170061261,28.0
480170061262,4.0
480170061263,30.0
480170061266,1.0
480170061268,17.0
480170061270,1.0
480170061271,9.0
480170061273,2.0
480170061275,4.0
480170061276,46.0
480170061277,1.0
480170061278,1.0
480170061279,14.0
480170061280,14.0
480170061283,11.0
480170061285,7.0
480170061286,38.0
480170061288,33.0
480170061290,4.0
480170061292,1.0
480170061294,5.0
480170061295,1.0
480170061296,14.0
480170061297,4.0
480170061299,9.0
480170061300,5.0
480170061301,54.0
480170061303,11.0
480170061305,5.0
480170061309,8.0
480170061312,2.0
480170061314,3.0
480170061315,27.0
480170061317,48.0
480170061318,7.0
480170061321,25.0
480170061325,23.0
480170061326,47.0
480170061328,4.0
480170061329,2.0
480170061331,1.0
480170061333,10.0
480170061335,10.0
480170061336,23.0
480170061338,22.0
480170061339,3.0
480170061340,4.0
480170061341,16.0
480170061343,14.0
480170061344,1.0
480170061345,13.0
480170061346,3.0
480170061347,7.0
480170061348,15.0
480170061349,16.0
480170061350,15.0
480170061352,7.0
480170061353,8.0
480170061354,1.0
480170061355,1.0
480170061358,7.0
480170061359,8.0
480170061360,2.0
480170061361,6.0
480170061362,1.0
480170061363,1.0
480170061365,6.0
480170061366,22.0
480170061368,1.0
480170061369,6.0
480170061370,17.0
480170061371,1.0
480170061375,4.0
480170061377,74.0
480170061378,4.0
480170061379,6.0
480170061380,8.0
480170061381,3.0
480170061383,5.0
480170061384,3.0
480170061386,1.0
480170061388,6.0
480170061390,18.0
480170061391,0.0
480170061393,21.0
480170061394,1.0
480170061395,20.0
480170061396,5.0
480170061397,3.0
480170061399,5.0
480170061400,45.0
480170061401,4.0
480170061402,4.0
480170061403,4.0
480170061404,8.0
480170061406,1.0
480170061408,10.0
480170061410,5.0
480170061411,2.0
480170061412,3.0
480170061414,18.0
480170061415,5.0
480170061416,3.0
480170061418,4.0
480170061419,5.0
480170061420,1.0
480170061422,7.0
480170061423,35.0
480170061424,21.0
480170061425,5.0
480170061426,3.0
480170061427,4.0
480170061429,7.0
480170061431,6.0
480170061432,2.0
480170061433,1.0
480170061434,4.0
480170061435,10.0
480170061436,27.0
480170061437,1.0
480170061439,7.0
480170061440,10.0
480170061442,5.0
480170061443,1.0
480170061444,1.0
480170061445,10.0
480170061446,2.0
480170061448,1.0
480170061449,2.0
480170061450,41.0
480170061451,4.0
480170061452,5.0
480170061453,3.0
480170061454,3.0
480170061457,1.0
480170061458,1.0
480170061459,19.0
480170061460,2.0
480170061461,1.0
480170061463,10.0
480170061464,4.0
480170061465,2.0
480170061466,4.0
480170061467,2.0
480170061469,18.0
480170061470,3.0
480170061473,3.0
480170061474,4.0
480170061476,22.0
480170061477,2.0
480170061478,4.0
480170061479,15.0
480170061480,6.0
480170061481,6.0
480170061482,2.0
480170061483,1.0
480170061485,3.0
480170061487,5.0
480170061488,5.0
480170061489,6.0
480170061490,1.0
480170061491,8.0
480170061492,8.0
480170061493,6.0
480170061496,6.0
480170061497,9.0
480170061498,5.0
480170061499,1.0
480170061500,1.0
480170061501,3.0
480170061502,4.0
480170061503,6.0
480170061506,1.0
480170061507,4.0
480170061508,10.0
480170061510,5.0
480170061511,2.0
480170061512,2.0
480170061514,3.0
480170061516,2.0
480170061517,1.0
480170061519,2.0
480170061520,4.0
480170061521,19.0
480170061522,3.0
480170061523,7.0
480170061524,1.0
480170061525,4.0
480170061528,1.0
480170061529,4.0
480170061531,21.0
480170061535,8.0
480170061536,9.0
480170061537,6.0
480170061539,1.0
480170061540,1.0
480170061541,7.0
480170061542,1.0
480170061544,14.0
480170061545,2.0
480170061546,7.0
480170061547,5.0
480170061548,6.0
480170061549,12.0
480170061551,6.0
480170061552,9.0
480170061553,1.0
480170061554,4.0
480170061556,5.0
480170061557,3.0
480170061559,3.0
480170061560,4.0
480170061561,1.0
480170061562,1.0
480170061563,8.0
480170061564,2.0
480170061565,3.0
480170061567,1.0
480170061568,7.0
480170061569,1.0
480170061570,4.0
480170061571,4.0
480170061572,3.0
480170061573,5.0
480170061574,4.0
480170061575,3.0
480170061576,1.0
480170061578,7.0
480170061579,7.0
480170061580,2.0
480170061581,2.0
480170061582,12.0
480170061583,1.0
480170061585,11.0
480170061587,2.0
480170061589,4.0
480170061590,1.0
480170061593,7.0
480170061594,4.0
480170061596,7.0
480170061597,2.0
480170061598,17.0
480170061599,3.0
480170061600,6.0
480170061601,13.0
480170061602,1.0
480170061604,3.0
480170061605,1.0
480170061606,18.0
480170061607,13.0
480170061608,2.0
480170061609,2.0
480170061612,2.0
480170061613,14.0
480170061616,22.0
480170061619,2.0
480170061620,3.0
480170061622,2.0
480170061623,7.0
480170061624,4.0
480170061626,2.0
480170061629,15.0
480170061630,2.0
480170061632,15.0
480170061634,4.0
480170061637,1.0
480170061638,1.0
480170061639,2.0
480170061640,2.0
480170061641,10.0
480170061643,1.0
480170061645,5.0
480170061646,9.0
480170061647,4.0
480170061649,7.0
480170061650,1.0
480170061652,1.0
480170061653,2.0
480170061654,2.0
480170061655,4.0
480170061656,5.0
480170061659,10.0
480170061660,1.0
480170061661,12.0
480170061663,7.0
480170061664,7.0
480170061665,1.0
480170061667,11.0
480170061668,5.0
480170061669,25.0
480170061670,6.0
480170061672,8.0
480170061673,3.0
480170061674,3.0
480170061675,2.0
480170061677,3.0
480170061681,3.0
480170061683,1.0
480170061684,14.0
480170061685,0.0
480170061686,5.0
480170061688,6.0
480170061689,2.0
480170061691,4.0
480170061692,4.0
480170061693,9.0
480170061694,6.0
480170061695,11.0
480170061696,1.0
480170061697,1.0
480170061698,1.0
480170061699,9.0
480170061700,5.0
480170061701,7.0
480170061704,2.0
480170061710,3.0
480170061712,3.0
480170061713,3.0
480170061714,5.0
480170061715,1.0
480170061716,4.0
480170061721,1.0
480170061722,6.0
480170061724,1.0
480170061732,8.0
480170061734,0.0
480170061736,5.0
480170061737,6.0
480170061738,10.0
480170061739,7.0
480170061742,8.0
480170061744,1.0
480170061745,2.0
480170061747,3.0
480170061750,6.0
480170061752,3.0
480170061754,1.0
480170061755,8.0
480170061759,1.0
480170061760,2.0
480170061764,1.0
480170061768,2.0
480170061769,4.0
480170061770,2.0
480170061771,2.0
480170061772,1.0
480170061779,2.0
480170061781,1.0
480170061782,1.0
480170061783,1.0
480170061786,1.0
480170061787,1.0
480170061792,6.0
480170061793,3.0
480170061794,8.0
480170061796,2.0
480170061798,3.0
480170061799,2.0
480170061804,5.0
480170061805,3.0
480170061808,4.0
480170061813,2.0
480170061814,3.0
480170061816,2.0
480170061817,7.0
480170061819,1.0
480170061820,5.0
480170061822,2.0
480170061824,4.0
480170061826,5.0
480170061827,9.0
480170061831,3.0
480170061832,9.0
480170061834,10.0
480170061838,1.0
480170061840,5.0
480170061844,3.0
480170061848,5.0
480170061850,7.0
480170061853,2.0
480170061856,1.0
480170061858,2.0
480170061862,5.0
480170061863,1.0
480170061866,1.0
480170061867,2.0
480170061869,3.0
480170061870,3.0
480170061873,4.0
480170061877,5.0
480170061878,5.0
480170061879,1.0
480170061880,25.0
480170061881,6.0
480170061884,3.0
480170061885,2.0
480170061886,18.0
480170061888,1.0
480170061890,2.0
480170061894,3.0
480170061895,2.0
480170061896,2.0
480170061897,4.0
480170061898,4.0
480170061900,8.0
480170061901,4.0
480170061902,1.0
480170061904,1.0
480170061905,1.0
480170061906,15.0
480170061910,1.0
480170061911,6.0
480170061912,8.0
480170061914,7.0
480170061915,6.0
480170061921,4.0
480170061922,4.0
480170061924,7.0
480170061925,2.0
480170061928,3.0
480170061931,4.0
480170061932,9.0
480170061933,4.0
480170061936,4.0
480170061937,13.0
480170061938,2.0
480170061944,1.0
480170061945,3.0
480170061950,2.0
480170061952,1.0
480170061954,2.0
480170061955,2.0
480170061956,1.0
480170061957,2.0
480170061958,17.0
480170061959,1.0
480170061961,2.0
480170061963,5.0
480170061965,9.0
480170061966,2.0
480170061967,1.0
480170061968,5.0
480170061969,1.0
480170061974,1.0
480170061978,5.0
480170061979,12.0
480170061983,2.0
480170061984,1.0
480170061985,3.0
480170061986,5.0
480170061987,2.0
480170061988,8.0
480170061989,2.0
480170061990,0.0
480170061991,5.0
480170061992,2.0
480170061994,10.0
480170061996,6.0
480170062004,2.0
480170062006,1.0
480170062007,3.0
480170062008,8.0
480170062012,3.0
480170062014,2.0
480170062016,2.0
480170062017,1.0
480170062018,2.0
480170062019,2.0
480170062020,4.0
480170062021,2.0
480170062024,1.0
480170062025,3.0
480170062026,3.0
480170062027,1.0
480170062032,3.0
480170062035,14.0
480170062036,4.0
480170062040,2.0
480170062041,5.0
480170062048,1.0
480170062049,2.0
480170062050,8.0
480170062052,1.0
480170062054,1.0
480170062055,5.0
480170062057,1.0
480170062058,1.0
480170062059,1.0
480170062062,4.0
480170062066,2.0
480170062069,2.0
480170062072,2.0
480170062079,3.0
480170062081,1.0
480170062085,2.0
480170062087,2.0
480170062089,1.0
480170062090,19.0
480170062091,1.0
480170062093,8.0
480170062094,7.0
480170062096,8.0
480170062097,15.0
480170062098,1.0
480170062099,1.0
480170062103,1.0
480170062105,3.0
480170062106,2.0
480170062108,1.0
480170062109,2.0
480170062110,1.0
480170062111,2.0
480170062119,2.0
480170062120,10.0
480170062121,4.0
480170062122,3.0
480170062124,0.0
480170062125,6.0
480170062126,11.0
480170062127,14.0
480170062131,6.0
480170062133,0.0
480170062135,2.0
480170062137,1.0
480170062140,6.0
480170062142,4.0
480170062143,3.0
480170062147,2.0
480170062149,4.0
480170062150,3.0
480170062154,10.0
480170062155,2.0
480170062157,1.0
480170062158,1.0
480170062159,4.0
480170062160,1.0
480170062161,4.0
480170062162,2.0
480170062163,2.0
480170062164,4.0
480170062167,3.0
480170062169,3.0
480170062177,116.0
480170062181,1.0
480170062186,3.0
