host_location,frequency
AU,9.996001599360256e-05
"Abbadia San Salvatore, Toscana, Italy",9.996001599360256e-05
"Abu Dhabi, Abu Dhabi, United Arab Emirates",0.00019992003198720512
"Agliana, Toscana, Italy",9.996001599360256e-05
"Agliana, Tuscany, Italy",0.00019992003198720512
"Albinia, Tuscany, Italy",0.0002998800479808077
"Allende, Veracruz, Mexico",9.996001599360256e-05
"Almaty, Almaty Province, Kazakhstan",9.996001599360256e-05
"Altopascio, Toscana, Italy",9.996001599360256e-05
"Amsterdam, North Holland, Netherlands",0.00019992003198720512
"Ancona, Marche, Italy",9.996001599360256e-05
"Angrogna, Piemonte, Italy",9.996001599360256e-05
"Ann Arbor, Michigan, United States",9.996001599360256e-05
"Antella, Tuscany, Italy",9.996001599360256e-05
"Arcadia, Florida, United States",9.996001599360256e-05
"Arcidosso, Tuscany, Italy",9.996001599360256e-05
"Arezzo, Tuscany, Italy",0.0005997600959616154
Argentina,0.00019992003198720512
"Arlington, Virginia, United States",9.996001599360256e-05
"Asciano, Toscana, Italy",0.0012994802079168333
"Austin, Texas, United States",9.996001599360256e-05
Australia,9.996001599360256e-05
Austria,9.996001599360256e-05
"Avellino, Campania, Italy",9.996001599360256e-05
BO,0.00019992003198720512
"Bagni di Lucca, Tuscany, Italy",0.00019992003198720512
"Bagno A Ripoli, Toscana, Italy",0.0009996001599360256
"Bagno A Ripoli, Tuscany, Italy",9.996001599360256e-05
"Bagno a Ripoli, Tuscany, Italy",0.00429828068772491
"Barberino Tavarnelle, Tuscany, Italy",0.0002998800479808077
"Barberino Val D'elsa, Toscana, Italy",9.996001599360256e-05
"Barcelona, Catalonia, Spain",0.00019992003198720512
"Barletta, Apulia, Italy",9.996001599360256e-05
"Basel, Basel City, Switzerland",9.996001599360256e-05
"Bassano del Grappa, Veneto, Italy",9.996001599360256e-05
"Berkeley, California, United States",9.996001599360256e-05
"Berlin, Berlin, Germany",0.00039984006397441024
"Bibbiena, Tuscany, Italy",0.00019992003198720512
"Bijeljina, Republika Srpska, Bosnia and Herzegovina",9.996001599360256e-05
"Bivigliano, Toscana, Italy",9.996001599360256e-05
"Bologna, Emilia-Romagna, Italy",0.002299080367852859
"Borgo San Lorenzo, Tuscany, Italy",9.996001599360256e-05
"Boston, Massachusetts, United States",0.0005997600959616154
"Bottai, Tuscany, Italy",9.996001599360256e-05
"Boulder, Colorado, United States",9.996001599360256e-05
"Brescia, Lombardy, Italy",9.996001599360256e-05
"Brindisi, Apulia, Italy",9.996001599360256e-05
"Broncigliano, Tuscany, Italy",0.00019992003198720512
"Brooklyn, New York, United States",9.996001599360256e-05
"Brussels, Brussels, Belgium",0.0002998800479808077
"Bucharest, Bucharest, Romania",0.00019992003198720512
"Budapest, Budapest, Hungary",9.996001599360256e-05
"Buenos Aires, Buenos Aires, Argentina",9.996001599360256e-05
"Cagliari, Sardegna, Italy",9.996001599360256e-05
"Calci, Tuscany, Italy",9.996001599360256e-05
"Calenzano, Tuscany, Italy",0.0002998800479808077
"Camaiore, Tuscany, Italy",0.00019992003198720512
"Cambridge, Massachusetts, United States",9.996001599360256e-05
"Campagna, Campania, Italy",9.996001599360256e-05
"Campi Bisenzio, Tuscany, Italy",0.0006997201119552179
"Campiglia Marittima, Toscana, Italy",9.996001599360256e-05
"Campiglia Marittima, Tuscany, Italy",9.996001599360256e-05
"Canale, Piemonte, Italy",9.996001599360256e-05
"Capannori, Tuscany, Italy",9.996001599360256e-05
"Cape Town, Western Cape, South Africa",9.996001599360256e-05
"Capraia e Limite, Tuscany, Italy",0.0002998800479808077
"Carmignano, Toscana, Italy",9.996001599360256e-05
"Carmignano, Tuscany, Italy",0.00019992003198720512
"Carrara, Tuscany, Italy",0.00039984006397441024
"Cascina, Tuscany, Italy",0.00039984006397441024
"Cascine di Buti, Tuscany, Italy",9.996001599360256e-05
"Caserta, Campania, Italy",9.996001599360256e-05
"Casone, Toscana, Italy",9.996001599360256e-05
"Castel San Pietro Terme, Emilia-Romagna, Italy",9.996001599360256e-05
"Castelfidardo, Marche, Italy",0.00019992003198720512
"Castelfiorentino, Tuscany, Italy",0.0002998800479808077
"Castell'anselmo, Tuscany, Italy",9.996001599360256e-05
"Castelvetere in Val Fortore, Campania, Italy",0.00019992003198720512
"Castiglion Fiorentino, Tuscany, Italy",0.00019992003198720512
"Castiglione dei Pepoli, Emilia-Romagna, Italy",9.996001599360256e-05
Central Florence 10 minutes from the Duomo Cathedral,9.996001599360256e-05
"Certaldo, Toscana, Italy",9.996001599360256e-05
"Certaldo, Tuscany, Italy",9.996001599360256e-05
"Chicago, Illinois, United States",0.0007996801279488205
"Chiesanuova, Piedmont, Italy",9.996001599360256e-05
China,0.0009996001599360256
"Chiocchio, Tuscany, Italy",0.00019992003198720512
"Chitignano, Tuscany, Italy",9.996001599360256e-05
"Chiusdino, Tuscany, Italy",9.996001599360256e-05
"Ciudad de México, Ciudad de México, Mexico",9.996001599360256e-05
"Clinton, Iowa, United States",0.0007996801279488205
"Colle di Val d'Elsa, Tuscany, Italy",9.996001599360256e-05
"Cologne, Nordrhein-Westfalen, Germany",9.996001599360256e-05
Colombia,9.996001599360256e-05
"Comeana, Toscana, Italy",9.996001599360256e-05
"Cortona, Tuscany, Italy",9.996001599360256e-05
"Coventry, England, United Kingdom",9.996001599360256e-05
"Craiova, Dolj County, Romania",9.996001599360256e-05
"Crema, Lombardy, Italy",9.996001599360256e-05
Croatia,0.00019992003198720512
"Curis-au-Mont-d'Or, Auvergne-Rhône-Alpes, France",9.996001599360256e-05
DE,0.00019992003198720512
DK,9.996001599360256e-05
"Delft, South Holland, Netherlands",9.996001599360256e-05
Denmark,0.0014994002399040384
"Denver, Colorado, United States",9.996001599360256e-05
"Donnini, Toscana, Italy",0.00019992003198720512
"Droginia, Lesser Poland Voivodeship, Poland",9.996001599360256e-05
"Drummondville, Quebec, Canada",9.996001599360256e-05
"Dubai, Dubai, United Arab Emirates",0.00019992003198720512
"Dublin, Dublin, Ireland",0.00019992003198720512
ES,0.0007996801279488205
"Empoli, Toscana, Italy",0.0005997600959616154
"Empoli, Tuscany, Italy",0.001999200319872051
"England, United Kingdom",0.0005997600959616154
"Eugene, Oregon, United States",9.996001599360256e-05
Europe,0.00019992003198720512
FR,0.0005997600959616154
"Faenza, Emilia-Romagna, Italy",9.996001599360256e-05
"Fano, Marche, Italy",0.00019992003198720512
"Fiesole, Toscana, Italy",0.0005997600959616154
"Fiesole, Tuscany, Italy",0.002299080367852859
"Figline e Incisa Valdarno, Toscana, Italy",0.0004998000799680128
"Firenze, Toscana, Italy",0.023290683726509397
"Firenzuola, Tuscany, Italy",0.00019992003198720512
"Florence, Italy",0.00019992003198720512
"Florence, Toscana, Italy",0.03598560575769692
"Florence, Tuscany, Italy",0.6337465013994402
"Foggia, Apulia, Italy",9.996001599360256e-05
"Follonica, Toscana, Italy",0.00039984006397441024
"Frankfurt, Hesse, Germany",9.996001599360256e-05
"Frankfurt, Hessen, Germany",9.996001599360256e-05
"Freiburg im Breisgau, Baden-Württemberg, Germany",0.0002998800479808077
"Fucecchio, Tuscany, Italy",0.0011995201919232307
GB,0.001599360255897641
"Gaiole in Chianti, Tuscany, Italy",0.00019992003198720512
"Gamle Oslo, Oslo, Norway",0.00019992003198720512
"Geneva, Geneva, Switzerland",0.0002998800479808077
"Genoa, Liguria, Italy",0.0002998800479808077
"Ginestra Fiorentina, Toscana, Italy",9.996001599360256e-05
"Ginestra Fiorentina, Tuscany, Italy",9.996001599360256e-05
"Ginestra, Tuscany, Italy",9.996001599360256e-05
"Grassina Ponte A Ema, Toscana, Italy",9.996001599360256e-05
"Grassina, Tuscany, Italy",9.996001599360256e-05
"Greater London, England, United Kingdom",0.005697720911635346
"Greve In Chianti, Toscana, Italy",9.996001599360256e-05
"Greve In Chianti, Tuscany, Italy",0.00019992003198720512
"Greve in Chianti, Toscana, Italy",9.996001599360256e-05
"Greve in Chianti, Tuscany, Italy",0.0007996801279488205
"Grosseto, Tuscany, Italy",0.0004998000799680128
"Guastalla, Emilia-Romagna, Italy",0.00019992003198720512
"Guayaquil, Guayas, Ecuador",9.996001599360256e-05
HU,9.996001599360256e-05
"Haiku-Pauwela, Hawaii, United States",9.996001599360256e-05
"Havana, Havana, Cuba",9.996001599360256e-05
"Helsinki, Uusimaa, Finland",0.00039984006397441024
"Hiddenhausen, North Rhine-Westphalia, Germany",9.996001599360256e-05
"Honolulu, Hawaii, United States",9.996001599360256e-05
"Hostivice, Central Bohemian Region, Czechia",9.996001599360256e-05
"Houston, Texas, United States",0.00019992003198720512
"Hyderabad, Telangana, India",9.996001599360256e-05
I am an unredeemable traveller,9.996001599360256e-05
IE,0.0002998800479808077
IT,0.1406437425029988
"Impruneta, Toscana, Italy",0.0002998800479808077
"Impruneta, Tuscany, Italy",0.0034986005597760898
"Inno, Toscana, Italy",9.996001599360256e-05
"Inveruno, Lombardy, Italy",9.996001599360256e-05
Ireland,9.996001599360256e-05
Israel,9.996001599360256e-05
Italia,0.0007996801279488205
Italy,0.007796881247501
"Ixelles, Brussels, Belgium",9.996001599360256e-05
"Jacksonville, Florida, United States",0.000899640143942423
KR,9.996001599360256e-05
"Kasavanahalli, Karnataka, India",9.996001599360256e-05
"Komodo, Nusa Tenggara Timur, Indonesia",0.00019992003198720512
"Kuluin, Queensland, Australia",0.0005997600959616154
"Kävlinge V, Skåne län, Sweden",9.996001599360256e-05
"La Spezia, Liguria, Italy",0.0002998800479808077
"Lake Worth, Florida, United States",9.996001599360256e-05
"Lamporecchio, Toscana, Italy",0.00019992003198720512
"Largo, Florida, United States",9.996001599360256e-05
"Lastra a Signa, Toscana, Italy",0.0002998800479808077
"Lastra a Signa, Tuscany, Italy",0.0014994002399040384
"Laterina, Toscana, Italy",9.996001599360256e-05
"Lavello, Basilicata, Italy",9.996001599360256e-05
"Lawndale, California, United States",0.0002998800479808077
"Lecce, Apulia, Italy",0.00019992003198720512
"Lecco, Lombardy, Italy",9.996001599360256e-05
"Legnano, Lombardia, Italy",0.0002998800479808077
"Leini, Lombardia, Italy",0.0005997600959616154
"Lerici, Liguria, Italy",0.0002998800479808077
"Lido di Camaiore, Tuscany, Italy",0.0005997600959616154
"Lierna, Lombardia, Italy",0.00019992003198720512
"Lititz, Pennsylvania, United States",0.0002998800479808077
"Livorno, Tuscany, Italy",0.0005997600959616154
"Lodi, Lombardy, Italy",9.996001599360256e-05
"Londa, Toscana, Italy",0.0002998800479808077
London ,9.996001599360256e-05
"London, England, United Kingdom",0.0018992403038784486
"London, UK",9.996001599360256e-05
"London, United Kingdom",9.996001599360256e-05
"Long Beach, California, United States",9.996001599360256e-05
"Los Angeles, California, United States",0.0002998800479808077
"Lu Bagnu, Sardegna, Italy",9.996001599360256e-05
"Lucca, Tuscany, Italy",0.0005997600959616154
"Lucignano, Tuscany, Italy",9.996001599360256e-05
"Lugano, Ticino, Switzerland",0.0007996801279488205
"Luxembourg, Luxembourg District, Luxembourg",9.996001599360256e-05
MK,9.996001599360256e-05
"Macerata, Marche, Italy",9.996001599360256e-05
"Madrid, Community of Madrid, Spain",9.996001599360256e-05
"Malmö, Skåne County, Sweden",9.996001599360256e-05
Malta,0.0005997600959616154
"Marcialla, Toscana, Italy",9.996001599360256e-05
"Marsciano, Umbria, Italy",9.996001599360256e-05
"Mel, Veneto, Italy",9.996001599360256e-05
"Mercatale in Val di Pesa, Tuscany, Italy",0.00019992003198720512
"Metairie, Louisiana, United States",9.996001599360256e-05
"Metropolitan City of Bari, Apulia, Italy",0.0005997600959616154
"Metropolitan City of Florence, Tuscany, Italy",0.0007996801279488205
"Milan, Lombardia, Italy",0.0006997201119552179
"Milan, Lombardy, Italy",0.014694122351059576
"Milazzo, Sicily, Italy",9.996001599360256e-05
"Modane, Auvergne-Rhône-Alpes, France",9.996001599360256e-05
"Monsummano Terme, Tuscany, Italy",9.996001599360256e-05
"Montale, Tuscany, Italy",0.00039984006397441024
"Monte Argentario, Toscana, Italy",0.0002998800479808077
"Montebonello, Tuscany, Italy",9.996001599360256e-05
"Montecalvoli, Toscana, Italy",9.996001599360256e-05
"Montecatini Terme, Tuscany, Italy",0.0002998800479808077
"Montelupo Fiorentino, Toscana, Italy",0.0002998800479808077
"Montelupo Fiorentino, Tuscany, Italy",9.996001599360256e-05
"Montemurlo, Toscana, Italy",0.0004998000799680128
"Montemurlo, Tuscany, Italy",9.996001599360256e-05
"Monteriggioni, Tuscany, Italy",9.996001599360256e-05
"Monterrey, Nuevo León, Mexico",0.00039984006397441024
"Montespertoli, Toscana, Italy",0.00019992003198720512
"Montespertoli, Tuscany, Italy",0.0006997201119552179
"Montevarchi, Tuscany, Italy",9.996001599360256e-05
"Montgomery County, Maryland, United States",9.996001599360256e-05
"Monticchiello, Toscana, Italy",9.996001599360256e-05
"Montreal, Quebec, Canada",9.996001599360256e-05
"Montreuil, Île-de-France, France",9.996001599360256e-05
"Munich, Bavaria, Germany",0.00039984006397441024
"Municipality of Sesto Fiorentino, Tuscany, Italy",0.0005997600959616154
"Naples, Campania, Italy",0.0004998000799680128
"Naples, Florida, United States",9.996001599360256e-05
Near London,9.996001599360256e-05
"New York, New York, United States",0.0004998000799680128
"Nice, Provence-Alpes-Côte d'Azur, France",0.00019992003198720512
"Nur-Sultan, Aqmola oblısı, Kazakhstan",0.0002998800479808077
"Olbia, Sardinia, Italy",0.0002998800479808077
"Orosei, Sardegna, Italy",9.996001599360256e-05
"Osteria Nuova, Toscana, Italy",9.996001599360256e-05
PT,9.996001599360256e-05
"Padua, Veneto, Italy",0.00019992003198720512
"Paganico, Tuscany, Italy",9.996001599360256e-05
"Palermo, Buenos Aires, Argentina",9.996001599360256e-05
"Panzano In Chianti, Toscana, Italy",0.00019992003198720512
"Panzano, Tuscany, Italy",0.00019992003198720512
"Paola, Calabria, Italy",9.996001599360256e-05
"Paris, Ile-de-France, France",9.996001599360256e-05
"Paris, Île-de-France, France",0.0012994802079168333
"Parma, Emilia-Romagna, Italy",0.00019992003198720512
"Passignano Sul Trasimeno, Umbria, Italy",9.996001599360256e-05
"Pelago, Toscana, Italy",9.996001599360256e-05
"Pesaro, Marche, Italy",9.996001599360256e-05
"Pescia, Tuscany, Italy",0.00039984006397441024
"Pian di Scò, Toscana, Italy",0.00039984006397441024
"Pianvallico, Toscana, Italy",9.996001599360256e-05
"Piatra Neamț, Județul Neamț, Romania",0.000899640143942423
"Pietrasanta, Tuscany, Italy",9.996001599360256e-05
"Pieve a Nievole, Tuscany, Italy",0.0002998800479808077
"Pisa, Toscana, Italy",0.0004998000799680128
"Pisa, Tuscany, Italy",0.0011995201919232307
"Pistoia, Tuscany, Italy",0.0006997201119552179
"Plaino, Friuli-Venezia Giulia, Italy",9.996001599360256e-05
"Plymouth, England, United Kingdom",9.996001599360256e-05
"Poggibonsi, Tuscany, Italy",0.00039984006397441024
"Poggio a Caiano, Toscana, Italy",9.996001599360256e-05
"Pomino, Tuscany, Italy",9.996001599360256e-05
"Pompano Beach, Florida, United States",0.00019992003198720512
"Pontassieve, Toscana, Italy",0.0002998800479808077
"Pontassieve, Tuscany, Italy",0.0009996001599360256
"Ponte Della Priula, Veneto, Italy",9.996001599360256e-05
"Poppi, Toscana, Italy",9.996001599360256e-05
"Porto Seguro, State of Bahia, Brazil",9.996001599360256e-05
"Potenza, Basilicata, Italy",0.00019992003198720512
"Prato, Toscana, Italy",0.0005997600959616154
"Prato, Tuscany, Italy",0.004898040783686526
"Preston Capes, England, United Kingdom",9.996001599360256e-05
Proprietaria,0.00019992003198720512
"Province of Florence, Tuscany, Italy",9.996001599360256e-05
"Préverenges, Vaud, Switzerland",9.996001599360256e-05
"Quarrata, Tuscany, Italy",0.0002998800479808077
"Queens, New York, United States",9.996001599360256e-05
"Radebeul, Saxony, Germany",9.996001599360256e-05
"Reggello, Toscana, Italy",9.996001599360256e-05
"Reggello, Tuscany, Italy",0.0004998000799680128
"Reggio Calabria, Calabria, Italy",9.996001599360256e-05
"Reggio Emilia, Emilia-Romagna, Italy",0.00039984006397441024
"Rillieux-la-Pape, Auvergne-Rhône-Alpes, France",9.996001599360256e-05
"Rimini, Emilia-Romagna, Italy",9.996001599360256e-05
"Riviera Beach, Florida, United States",9.996001599360256e-05
"Roma, Lazio, Italy",0.0006997201119552179
"Rome, Lazio, Italy",0.006297481007596961
"Romola, Toscana, Italy",9.996001599360256e-05
"Romola, Tuscany, Italy",9.996001599360256e-05
"Romulus, Michigan, United States",0.00039984006397441024
"Rossano, Calabria, Italy",9.996001599360256e-05
"Rossinière, Vaud, Switzerland",0.0002998800479808077
"Rueil-Malmaison, Île-de-France, France",9.996001599360256e-05
"Rufina, Toscana, Italy",9.996001599360256e-05
SE,9.996001599360256e-05
"Saint-Denis, Île-de-France, France",9.996001599360256e-05
"Salerno, Campania, Italy",0.00019992003198720512
"San Casciano In Val di Pesa, Toscana, Italy",0.0002998800479808077
"San Casciano In Val di Pesa, Tuscany, Italy",0.0005997600959616154
"San Casciano in Val di Pesa, Toscana, Italy",0.0009996001599360256
"San Casciano in Val di Pesa, Tuscany, Italy",0.0007996801279488205
"San Casciano, Tuscany, Italy",0.00019992003198720512
"San Francisco, California, United States",0.00019992003198720512
"San Giovanni Valdarno, Tuscany, Italy",0.0005997600959616154
"San Marcello Pistoiese, Tuscany, Italy",9.996001599360256e-05
"San Marco in Lamis, Apulia, Italy",9.996001599360256e-05
"San Miniato, Toscana, Italy",0.00019992003198720512
"San Miniato, Tuscany, Italy",0.0006997201119552179
"San Piero in Bagno, Emilia-Romagna, Italy",9.996001599360256e-05
"San Severo, Apulia, Italy",9.996001599360256e-05
"San Vincenzo, Tuscany, Italy",0.00019992003198720512
"Sankt Peter-Ording, Schleswig-Holstein, Germany",9.996001599360256e-05
"Sansepolcro, Tuscany, Italy",0.00019992003198720512
"Sant Josep de sa Talaia, Balearic Islands, Spain",0.000899640143942423
"Santa Barbara, California, United States",9.996001599360256e-05
"Santa Cristina, Tuscany, Italy",0.00019992003198720512
"Sardinia, Italy",9.996001599360256e-05
"Sarteano, Tuscany, Italy",9.996001599360256e-05
"Sarzana, Liguria, Italy",0.00019992003198720512
"Scandicci, Toscana, Italy",0.00039984006397441024
"Scandicci, Tuscany, Italy",0.0028988404638144744
"Scappoose, Oregon, United States",9.996001599360256e-05
"Scarperia, Tuscany, Italy",0.00019992003198720512
"Schio, Veneto, Italy",0.00019992003198720512
"Seattle, Washington, United States",9.996001599360256e-05
"Seoul, Seoul, South Korea",9.996001599360256e-05
"Serravalle Pistoiese, Tuscany, Italy",9.996001599360256e-05
"Sesto Fiorentino, Toscana, Italy",0.00019992003198720512
"Sesto Fiorentino, Tuscany, Italy",0.001799280287884846
"Settignano, Tuscany, Italy",0.0004998000799680128
"Seville, Andalusia, Spain",0.0009996001599360256
"Shanghai, Shanghai, China",9.996001599360256e-05
"Shenzhen, Guangdong, China",9.996001599360256e-05
"Siena, Tuscany, Italy",0.001799280287884846
"Signa, Toscana, Italy",0.0002998800479808077
"Signa, Tuscany, Italy",0.0002998800479808077
"Singapore, Singapore",0.00019992003198720512
"Sofia, Sofia-city, Bulgaria",9.996001599360256e-05
"Sovicille, Tuscany, Italy",9.996001599360256e-05
Spain,0.00019992003198720512
"Split, Split-Dalmatia County, Croatia",9.996001599360256e-05
"Spoleto, Umbria, Italy",9.996001599360256e-05
"Stagno, Tuscany, Italy",0.0002998800479808077
"Strada In Chianti, Toscana, Italy",9.996001599360256e-05
"Subbiano, Tuscany, Italy",9.996001599360256e-05
"Subiaco, Western Australia, Australia",9.996001599360256e-05
Sulle colline fiorentine,9.996001599360256e-05
"Sun City, Arizona, United States",9.996001599360256e-05
"Sydney, New South Wales, Australia",0.00019992003198720512
TR,0.00019992003198720512
"Tallinn, Harju County, Estonia",9.996001599360256e-05
"Tavarnelle Val di Pesa, Toscana, Italy",9.996001599360256e-05
"Tavarnelle Val di Pesa, Tuscany, Italy",9.996001599360256e-05
"Tavarnelle, Toscana, Italy",9.996001599360256e-05
"Tavarnuzze, Toscana, Italy",0.00019992003198720512
"Taviano, Puglia, Italy",9.996001599360256e-05
"Tavira, Faro District, Portugal",9.996001599360256e-05
"Tel Aviv-Yafo, Tel Aviv District, Israel",9.996001599360256e-05
"Terni, Umbria, Italy",9.996001599360256e-05
"Terranuova Bracciolini, Toscana, Italy",9.996001599360256e-05
"Terranuova Bracciolini, Tuscany, Italy",9.996001599360256e-05
"Terrey Hills, New South Wales, Australia",9.996001599360256e-05
"Tirrenia, Tuscany, Italy",0.0002998800479808077
"Tokyo, Japan",0.00019992003198720512
"Torre del Greco, Campania, Italy",9.996001599360256e-05
"Torre del Lago, Tuscany, Italy",9.996001599360256e-05
"Toscana, Italia",9.996001599360256e-05
"Toscana, Italy",0.00019992003198720512
"Trebisacce, Calabria, Italy",9.996001599360256e-05
"Trento, Trentino-South Tyrol, Italy",0.00019992003198720512
"Trepuzzi, Puglia, Italy",0.0005997600959616154
"Treviso, Veneto, Italy",9.996001599360256e-05
"Turin, Piedmont, Italy",0.0002998800479808077
"Tuscany, Italy",0.0028988404638144744
Tuscany/Italy,0.00019992003198720512
US,0.0013994402239104358
"Umbria, Italy",9.996001599360256e-05
United Kingdom,0.0002998800479808077
United States,0.0002998800479808077
"Vaglia, Tuscany, Italy",0.00019992003198720512
"Vaiano, Tuscany, Italy",9.996001599360256e-05
"Vallina, Toscana, Italy",9.996001599360256e-05
"Vazzola, Veneto, Italy",9.996001599360256e-05
"Venice, Veneto, Italy",0.00039984006397441024
"Vercelli, Piemonte, Italy",0.00019992003198720512
"Vevey, Vaud, Switzerland",9.996001599360256e-05
"Viareggio, Tuscany, Italy",0.0011995201919232307
"Vicchio, Tuscany, Italy",0.002299080367852859
"Vimodrone, Lombardy, Italy",9.996001599360256e-05
"Vincennes, Île-de-France, France",9.996001599360256e-05
Vivo nelle immediate vicinanze dell'alloggio.,9.996001599360256e-05
"Vivo tra Firenze, Borgo a Buggiano, l'isola d'Elba e dove mi porta il mio lavoro.",0.00019992003198720512
"Washington, District of Columbia, United States",9.996001599360256e-05
"Weimar, Thuringen, Germany",9.996001599360256e-05
"Wellington, Florida, United States",9.996001599360256e-05
"West Bend, Wisconsin, United States",0.000899640143942423
"Zürich, Zurich, Switzerland",0.00019992003198720512
toscana,9.996001599360256e-05
via san jacopino 12 firenze,9.996001599360256e-05
"Şişli, Istanbul, Turkey",9.996001599360256e-05
